lambda,lr,prompt_length,adversarial,hard_prompt_acc,soft_prompt_acc,difference
0.0,0.001,1,False,0.781651376146789,0.7920489296636085,-0.01039755351681948
0.0,0.001,5,False,0.789296636085627,0.7033639143730887,0.0859327217125383
0.0,0.01,10,False,0.7966360856269113,0.8116207951070337,-0.014984709480122316
0.0,0.01,20,False,0.8033639143730887,0.8,0.0033639143730886945
0.0,0.001,50,False,0.8024464831804281,0.7932721712538227,0.00917431192660545
0.0,0.01,100,False,0.8048929663608563,0.7932721712538227,0.0116207951070336
0.01,0.001,1,False,0.7984709480122324,0.7807339449541284,0.017737003058103995
0.01,0.01,5,False,0.7948012232415902,0.8055045871559633,-0.010703363914373099
0.01,0.001,10,False,0.8036697247706422,0.8042813455657493,-0.0006116207951070152
0.01,0.001,20,False,0.7981651376146789,0.7993883792048929,-0.0012232415902140303
0.01,0.01,50,False,0.8042813455657493,0.7926605504587156,0.0116207951070336
0.01,0.001,100,False,0.8027522935779816,0.8042813455657493,-0.001529051987767649
0.1,0.001,1,False,0.7801223241590214,0.7688073394495413,0.011314984709480114
0.1,0.01,5,False,0.7954128440366972,0.8058103975535168,-0.010397553516819591
0.1,0.01,10,False,0.7975535168195719,0.7972477064220184,0.0003058103975535076
0.1,0.01,20,False,0.8073394495412844,0.8003058103975536,0.0070336391437308
0.1,0.01,50,False,0.8058103975535168,0.8027522935779816,0.003058103975535187
0.1,0.001,100,False,0.8027522935779816,0.8042813455657493,-0.001529051987767649
0.25,0.01,1,False,0.7853211009174312,0.7547400611620795,0.030581039755351758
0.25,0.01,5,False,0.7932721712538227,0.8024464831804281,-0.00917431192660545
0.25,0.01,10,False,0.7996941896024465,0.7987767584097859,0.0009174311926606338
0.25,0.001,20,False,0.8018348623853211,0.7951070336391437,0.006727828746177389
0.25,0.01,50,False,0.8,0.7954128440366972,0.004587155963302836
0.25,0.01,100,False,0.8036697247706422,0.7434250764525994,0.0602446483180428
0.5,0.01,1,False,0.7923547400611621,0.6948012232415902,0.09755351681957192
0.5,0.01,5,False,0.7957186544342507,0.6651376146788991,0.13058103975535162
0.5,0.01,10,False,0.7984709480122324,0.8110091743119267,-0.012538226299694255
0.5,0.01,20,False,0.8051987767584098,0.8091743119266055,-0.0039755351681957
0.5,0.001,50,False,0.8024464831804281,0.7993883792048929,0.003058103975535187
0.5,0.001,100,False,0.8048929663608563,0.8070336391437309,-0.002140672782874664
0.75,0.001,1,False,0.7880733944954128,0.7749235474006116,0.01314984709480116
0.75,0.01,5,False,0.789296636085627,0.77217125382263,0.01712538226299698
0.75,0.01,10,False,0.8018348623853211,0.7709480122324159,0.030886850152905154
0.75,0.01,20,False,0.8006116207951071,0.8103975535168195,-0.009785932721712465
0.75,0.001,50,False,0.8021406727828746,0.8140672782874617,-0.0119266055045871
0.75,0.001,100,False,0.8018348623853211,0.8058103975535168,-0.00397553516819571
