lambda,lr,prompt_length,adversarial,hard_prompt_acc,soft_prompt_acc,difference
0.0,0.01,100,False,0.8048929663608563,0.7932721712538227,0.011620795107033621
0.01,0.01,50,False,0.8042813455657493,0.7926605504587156,0.011620795107033621
0.1,0.01,20,False,0.8073394495412844,0.8003058103975536,0.0070336391437308965
0.25,0.01,100,False,0.8036697247706422,0.7434250764525994,0.06024464831804288
0.5,0.01,20,False,0.8051987767584098,0.8091743119266055,-0.00397553516819571
0.75,0.001,50,False,0.8021406727828746,0.8140672782874617,-0.011926605504587129
1.0,0.001,100,False,0.8039755351681958,0.8070336391437309,-0.003058103975535187
10.0,0.1,100,False,0.8064220183486238,0.39510703363914373,0.4113149847094801
0.0,0.1,1,True,0.7697247706422018,0.6220183486238532,0.1477064220183486
0.01,0.1,1,True,0.7709480122324159,0.3785932721712538,0.3923547400611621
0.1,1e-06,1,True,0.7785932721712538,0.4764525993883792,0.30214067278287465
0.25,0.1,1,True,0.7804281345565749,0.6217125382262997,0.1587155963302752
0.5,0.001,1,True,0.7819571865443425,0.6648318042813456,0.11712538226299696
0.75,1e-06,1,True,0.7782874617737003,0.5623853211009174,0.2159021406727829
1.0,0.1,1,True,0.7767584097859327,0.6238532110091743,0.15290519877675834
10.0,0.1,1,True,0.7700305810397553,0.5434250764525994,0.2266055045871559
